year,plant_section_2,flared_section_2,total_section_2,decrease_section_2,plant_section_3,flared_section_3,total_section_3,decrease_section_3,plant_section_6,flared_section_6,total_section_6,decrease_section_6,plant_section_9,decrease_9,all,decrease
2005,520495,23635,544130,,531537,67194,598731,,1106496,141915,1248411,,1641913,,4033185,
2006,438449,43413,481862,11.44,486425,67012,553437,7.56,940801,123050,1063851,14.78,1606900,2.13,3706050,8.11
2007,395833,40432,436265,9.46,436193,83214,519407,6.15,755374,92222,847596,20.33,1516117,5.65,3319385,10.43
2008,326624,25544,352169,19.28,434794,34287,469082,9.69,686161,86087,772249,8.89,1533763,-1.16,3127261,5.79
2009,286857,28284,315141,10.51,380304,35022,415326,11.46,652515,81463,733977,4.96,1390524,9.34,2854968,8.71
2010,360490,37550,398040,-26.31,387543,33314,420857,-1.33,663057,97981,761039,-3.69,1297703,6.68,2877639,-0.79
2011,257007,52303,309310,22.29,298989,45157,344146,18.23,653217,118480,771697,-1.40,1081589,16.65,2506742,12.89
2012,212472,93822,306294,0.98,275268,75596,350863,-1.95,615210,76636,691846,10.35,1101511,-1.84,2450514,2.24
2013,230423,49711,280134,8.54,277227,41488,318714,9.16,587322,19239,606560,12.33,1045068,5.12,2250476,8.16
2014,208803,31606,240409,14.18,218495,25606,244101,23.41,547095,15189,562284,7.30,858591,17.84,1905385,15.33
2015,187454,28595,216049,10.13,240106,17075,257181,-5.36,475534,14606,490140,12.83,741436,13.65,1704806,10.53
2016,183545,13371,196916,8.86,239187,11201,250388,2.64,432303,11776,444079,9.40,762134,-2.79,1653517,3.01
2017,137827,24816,162643,17.40,139127,6193,145320,41.96,247573,10170,257743,41.96,615671,19.22,1181377,28.55
2018,142374,5748,148122,8.93,204095,1209,205304,-41.28,202433,5217,207650,19.44,543450,11.73,1104526,6.51
