NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Daily Tide Predictions
StationName: PORT IVORY, ARTHUR KILL 
State: NY 
Stationid: 8519200
ReferencedToStationName: Sandy Hook
ReferencedToStationId: 8531680
HeightOffsetLow: * 1.09
HeightOffsetHigh: * 1.09
TimeOffsetLow: 39
TimeOffsetHigh: 27
Prediction Type: Subordinate
From: 20190512 02:43 - 20190612 23:55
Units: Feet
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date        Day Time    Pred    High/Low
2019/05/12  Sun 02:43   5.63    H
2019/05/12  Sun 09:50   0.34    L
2019/05/12  Sun 15:34   5.17    H
2019/05/12  Sun 22:06   0.69    L
2019/05/13  Mon 03:46   5.58    H
2019/05/13  Mon 10:51   0.14    L
2019/05/13  Mon 16:35   5.45    H
2019/05/13  Mon 23:12   0.42    L
2019/05/14  Tue 04:50   5.58    H
2019/05/14  Tue 11:46   -0.11   L
2019/05/14  Tue 17:36   5.81    H
2019/05/15  Wed 00:12   0.10    L
2019/05/15  Wed 05:53   5.63    H
2019/05/15  Wed 12:37   -0.31   L
2019/05/15  Wed 18:32   6.19    H
2019/05/16  Thu 01:07   -0.18   L
2019/05/16  Thu 06:51   5.71    H
2019/05/16  Thu 13:26   -0.44   L
2019/05/16  Thu 19:24   6.52    H
2019/05/17  Fri 02:00   -0.39   L
2019/05/17  Fri 07:44   5.75    H
2019/05/17  Fri 14:13   -0.46   L
2019/05/17  Fri 20:12   6.72    H
2019/05/18  Sat 02:51   -0.51   L
2019/05/18  Sat 08:33   5.71    H
2019/05/18  Sat 15:00   -0.37   L
2019/05/18  Sat 20:57   6.75    H
2019/05/19  Sun 03:39   -0.52   L
2019/05/19  Sun 09:20   5.58    H
2019/05/19  Sun 15:45   -0.20   L
2019/05/19  Sun 21:41   6.61    H
2019/05/20  Mon 04:25   -0.43   L
2019/05/20  Mon 10:07   5.38    H
2019/05/20  Mon 16:29   0.06    L
2019/05/20  Mon 22:26   6.35    H
2019/05/21  Tue 05:09   -0.25   L
2019/05/21  Tue 10:56   5.13    H
2019/05/21  Tue 17:11   0.37    L
2019/05/21  Tue 23:11   6.02    H
2019/05/22  Wed 05:52   0.02    L
2019/05/22  Wed 11:47   4.88    H
2019/05/22  Wed 17:53   0.71    L
2019/05/22  Wed 23:59   5.67    H
2019/05/23  Thu 06:35   0.32    L
2019/05/23  Thu 12:38   4.68    H
2019/05/23  Thu 18:36   1.04    L
2019/05/24  Fri 00:48   5.36    H
2019/05/24  Fri 07:21   0.62    L
2019/05/24  Fri 13:29   4.55    H
2019/05/24  Fri 19:24   1.34    L
2019/05/25  Sat 01:37   5.10    H
2019/05/25  Sat 08:11   0.85    L
2019/05/25  Sat 14:18   4.49    H
2019/05/25  Sat 20:23   1.54    L
2019/05/26  Sun 02:26   4.90    H
2019/05/26  Sun 09:07   0.97    L
2019/05/26  Sun 15:06   4.51    H
2019/05/26  Sun 21:30   1.59    L
2019/05/27  Mon 03:15   4.76    H
2019/05/27  Mon 10:02   0.96    L
2019/05/27  Mon 15:55   4.61    H
2019/05/27  Mon 22:32   1.47    L
2019/05/28  Tue 04:06   4.69    H
2019/05/28  Tue 10:52   0.85    L
2019/05/28  Tue 16:45   4.80    H
2019/05/28  Tue 23:26   1.23    L
2019/05/29  Wed 04:59   4.69    H
2019/05/29  Wed 11:37   0.69    L
2019/05/29  Wed 17:35   5.07    H
2019/05/30  Thu 00:16   0.95    L
2019/05/30  Thu 05:52   4.75    H
2019/05/30  Thu 12:20   0.51    L
2019/05/30  Thu 18:21   5.40    H
2019/05/31  Fri 01:03   0.65    L
2019/05/31  Fri 06:43   4.87    H
2019/05/31  Fri 13:03   0.35    L
2019/05/31  Fri 19:04   5.74    H
2019/06/01  Sat 01:50   0.37    L
2019/06/01  Sat 07:29   5.01    H
2019/06/01  Sat 13:46   0.22    L
2019/06/01  Sat 19:45   6.04    H
2019/06/02  Sun 02:36   0.11    L
2019/06/02  Sun 08:13   5.13    H
2019/06/02  Sun 14:30   0.12    L
2019/06/02  Sun 20:25   6.28    H
2019/06/03  Mon 03:23   -0.10   L
2019/06/03  Mon 08:57   5.21    H
2019/06/03  Mon 15:16   0.05    L
2019/06/03  Mon 21:05   6.43    H
2019/06/04  Tue 04:09   -0.24   L
2019/06/04  Tue 09:43   5.23    H
2019/06/04  Tue 16:02   0.03    L
2019/06/04  Tue 21:49   6.47    H
2019/06/05  Wed 04:54   -0.30   L
2019/06/05  Wed 10:32   5.21    H
2019/06/05  Wed 16:49   0.05    L
2019/06/05  Wed 22:38   6.40    H
2019/06/06  Thu 05:41   -0.28   L
2019/06/06  Thu 11:26   5.18    H
2019/06/06  Thu 17:37   0.15    L
2019/06/06  Thu 23:33   6.26    H
2019/06/07  Fri 06:30   -0.18   L
2019/06/07  Fri 12:25   5.19    H
2019/06/07  Fri 18:30   0.31    L
2019/06/08  Sat 00:32   6.08    H
2019/06/08  Sat 07:23   -0.04   L
2019/06/08  Sat 13:23   5.25    H
2019/06/08  Sat 19:30   0.51    L
2019/06/09  Sun 01:31   5.90    H
2019/06/09  Sun 08:23   0.07    L
2019/06/09  Sun 14:21   5.38    H
2019/06/09  Sun 20:39   0.64    L
2019/06/10  Mon 02:30   5.72    H
2019/06/10  Mon 09:26   0.09    L
2019/06/10  Mon 15:18   5.54    H
2019/06/10  Mon 21:50   0.62    L
2019/06/11  Tue 03:29   5.53    H
2019/06/11  Tue 10:26   0.03    L
2019/06/11  Tue 16:15   5.74    H
2019/06/11  Tue 22:56   0.46    L
2019/06/12  Wed 04:29   5.38    H
2019/06/12  Wed 11:20   -0.06   L
2019/06/12  Wed 17:14   5.96    H
2019/06/12  Wed 23:55   0.25    L
