Plot ID,Days Since May 1,Percent Live Plant,Percent Bare Ground,Percent Litter,Live Vegetation Height,Standing Dead Vegetation Height,Litter Depth,Robel Pole
N1,9,20,5,75,10.66666667,0,3.43333,1.0
N2,9,30,0,70,7.733333333,10,2.83333,1.0
N3,9,40,0,60,13.33333333,5.666666667,4.7,1.0
N4,9,38,2,60,10.66666667,0,2.33333,1.0
N5,9,29,1,70,10.66666667,0,2.46667,1.0
N6,9,48,3,48,12.33333333,0,2.31667,1.0
N7,9,30,0,70,7.166666667,0,4.5,1.0
N8,9,42,8,30,14.33333333,0,1,1.0
N9,9,45,10,45,15.33333333,0,1,1.0
N10,9,35,0,65,7.666666667,0,5.23333,1.0
E1,9,45,3,55,12.33333333,0,1.5,1.0
E2,9,22,3,75,10.33333333,3.333333333,0.5,1.0
E3,9,10,0,90,4,0,3.66667,1.0
E4,9,5,0,95,5,0,6.33333,1.0
E5,9,30,5,65,8.666666667,0,2.66667,1.0
E6,9,30,10,60,8.666666667,0,1.33333,1.0
E7,9,20,10,70,6.666666667,0,1,1.0
E8,9,10,0,90,2.333333333,0,2,1.0
E9,9,5,1,94,3.333333333,0,2.66667,1.0
E10,9,10,0,90,10,3.333333333,1.0
N1,23,70,12,25,24,0,1.16667,2.0
N2,23,50,5,50,30,2.666666667,1.33333,4.0
N3,23,40,0,60,29.33333333,14.33333333,2.16667,3.8
N4,23,70,0,30,31.66666667,0,2.5,5.0
N5,23,65,5,30,27.33333333,0,1.83333,5.0
N6,23,50,5,45,46.5,3.333333333,5.66667,5.2
N7,23,20,0,80,29.33333333,5.666666667,5.66667,3.8
N8,23,40,10,50,33.33333333,1.666666667,2,3.8
N9,23,72,8,20,47.66666667,4.333333333,2.33333,6.0
N10,23,50,0,50,31.66666667,37.33333333,5,6.0
E1,23,35.66666667,8,2.33333,4.0
E2,23,40,0,60,31,4,3.66667,4.3
E3,23,28.66666667,6.666666667,2.66667,5.5
E4,23,33,13.33333333,7,7.0
E5,23,50,0,50,29,8.666666667,1.83333,4.5
E6,23,42.66666667,8,0,4.5
E7,23,30,10,60,53.33333333,6.333333333,1.66667,6.0
E8,23,40,0,60,52,0,2.16667,7.0
E9,23,40,0,60,32.33333333,12.66666667,2.33333,4.5
E10,23,60,0,40,33.66666667,4,4.0
N1,38,85,5,10,33,4.333333333,2.46667,5.5
N2,38,68,1,31,46.66666667,15.16666667,0.56667,5.2
N3,38,70,0,30,56,4.933333333,1.9,5.8
N4,38,85,1,14,47.66666667,8.166666667,1.5,6.5
N5,38,70,3,27,51.66666667,6.5,1.5,6.5
N6,38,95,1,4,59.66666667,11.16666667,1,7.0
N7,38,53,0,47,50.33333333,8.466666667,3,6.2
N8,38,70,7,23,54.33333333,7.866666667,2,5.8
N9,38,75,10,15,51,12.9,1,5.2
N10,38,90,0,10,48.66666667,22.9,2.83333,7.0
E1,38,70,2,28,50.33333333,7,1.06667,7.2
E2,38,77,2,21,45.66666667,4.333333333,0.5,5.0
E3,38,50,0,50,53.66666667,7.666666667,2.33333,8.2
E4,38,40,0,60,54.66666667,8.666666667,5.5,7.8
E5,38,80,0,20,54.66666667,4.333333333,0.93333,8.2
E6,38,80,1,19,41.33333333,8.666666667,0.66667,5.8
E7,38,70,5,25,67.33333333,13.66666667,0.43333,5.2
E8,38,50,0,50,68,0,2.6,5.8
E9,38,75,0,25,53,3.333333333,2.6,5.8
E10,38,50,0,50,51,9.666666667,0.66667,5.0
N1,51,94,3,3,52,0,0.66667,5.5
N2,51,90,2,8,61,0,1.83333,6.0
N3,51,90,0,10,57.33333333,4.666666667,2.33333,4.5
N4,51,92,0,8,54.33333333,13.33333333,2.66667,6.5
N5,51,85,3,12,49,0,3,7.5
N6,51,90,3,7,55.33333333,10.33333333,2.33333,8.0
N7,51,85,0,15,48.66666667,0,2.66667,6.5
